user,guest,checkin,checkout,payment,room_type,count,min_floor
megan.roberts@yahoo.com,megan.roberts@yahoo.com,2022-07-19,2022-07-23,2022-07-13 14:56:05,standard,2,14
megan.roberts@yahoo.com,megan.roberts@yahoo.com,2022-07-19,2022-07-23,2022-07-13 14:56:05,superior,2,5
tanya.thornton@gmail.com,amanda.greer@yahoo.com,2022-05-14,2022-06-01,2022-04-09 12:02:35,standard,1,14
tanya.thornton@gmail.com,amanda.greer@yahoo.com,2022-05-14,2022-06-01,2022-04-09 12:02:35,standard,2,16
hailey.skinner@gmail.com,hailey.skinner@gmail.com,2022-02-20,2022-02-24,2022-02-09 21:55:23,superior,1,13
hailey.skinner@gmail.com,hailey.skinner@gmail.com,2022-02-20,2022-02-24,2022-02-09 21:55:23,superior,2,23
hailey.skinner@gmail.com,hailey.skinner@gmail.com,2022-02-20,2022-02-24,2022-02-09 21:55:23,superior,1,7
steven.johnson@yahoo.com,steven.johnson@yahoo.com,2021-02-04,2021-02-09,2020-11-13 12:59:49,standard,2,29
ethan.santiago@hotmail.com,amanda.greer@yahoo.com,2022-02-04,2022-02-08,2022-01-12 18:06:08,superior,2,16
ethan.santiago@hotmail.com,amanda.greer@yahoo.com,2022-02-04,2022-02-08,2022-01-12 18:06:08,suite,2,6
ethan.santiago@hotmail.com,amanda.greer@yahoo.com,2022-02-04,2022-02-08,2022-01-12 18:06:08,standard,1,23
julie.hopkins@gmail.com,julie.hopkins@gmail.com,2023-04-28,2023-04-29,2023-04-06 10:47:16,standard,2,2
robert.moore@gmail.com,robert.moore@gmail.com,2021-01-22,2021-01-25,2020-12-25 21:16:37,superior,2,17
amy.meyer@gmail.com,megan.roberts@yahoo.com,2021-11-12,2021-11-16,2021-10-02 16:06:30,superior,1,4
amy.meyer@gmail.com,megan.roberts@yahoo.com,2021-11-12,2021-11-16,2021-10-02 16:06:30,deluxe,1,5
nicole.brown@hotmail.com,amanda.greer@yahoo.com,2022-08-02,2022-08-16,2022-07-13 05:41:34,superior,2,3
nicole.brown@hotmail.com,amanda.greer@yahoo.com,2022-08-02,2022-08-16,2022-07-13 05:41:34,deluxe,1,25
nicole.brown@hotmail.com,amanda.greer@yahoo.com,2022-08-02,2022-08-16,2022-07-13 05:41:34,suite,2,19
kimberly.miller@gmail.com,kimberly.miller@gmail.com,2021-05-06,2021-05-08,2021-04-01 21:53:43,standard,2,6
kimberly.miller@gmail.com,kimberly.miller@gmail.com,2021-05-06,2021-05-08,2021-04-01 21:53:43,deluxe,2,27
kimberly.miller@gmail.com,kimberly.miller@gmail.com,2021-05-06,2021-05-08,2021-04-01 21:53:43,deluxe,1,21
elaine.rosales@hotmail.com,belinda.wood@yahoo.com,2022-03-20,2022-03-22,2022-01-07 07:13:58,standard,2,4
elaine.rosales@hotmail.com,belinda.wood@yahoo.com,2022-03-20,2022-03-22,2022-01-07 07:13:58,superior,1,23
joseph.zamora@gmail.com,joseph.zamora@gmail.com,2023-05-27,2023-06-04,2023-03-02 20:32:39,suite,1,19
joseph.zamora@gmail.com,joseph.zamora@gmail.com,2023-05-27,2023-06-04,2023-03-02 20:32:39,superior,2,15
joseph.zamora@gmail.com,joseph.zamora@gmail.com,2023-05-27,2023-06-04,2023-03-02 20:32:39,suite,2,26
cheryl.tran@gmail.com,erin.johnson@hotmail.com,2023-05-12,2023-05-15,2023-03-02 17:26:02,standard,2,23
cheryl.tran@gmail.com,erin.johnson@hotmail.com,2023-05-12,2023-05-15,2023-03-02 17:26:02,superior,2,17
chase.miller@hotmail.com,chase.miller@hotmail.com,2021-08-11,2021-08-20,2021-07-11 06:28:52,suite,2,14
chase.miller@hotmail.com,chase.miller@hotmail.com,2021-08-11,2021-08-20,2021-07-11 06:28:52,superior,1,16
donald.smith@gmail.com,kimberly.miller@gmail.com,2022-06-01,2022-06-09,2022-03-09 03:34:31,superior,2,23
donald.smith@gmail.com,kimberly.miller@gmail.com,2022-06-01,2022-06-09,2022-03-09 03:34:31,superior,2,6
donald.smith@gmail.com,kimberly.miller@gmail.com,2022-06-01,2022-06-09,2022-03-09 03:34:31,standard,1,4
abigail.may@gmail.com,jacqueline.mcconnell@hotmail.com,2021-12-24,2021-12-29,2021-10-06 22:23:36,deluxe,2,23
anthony.sherman@yahoo.com,anthony.sherman@yahoo.com,2022-10-03,2022-10-08,2022-09-24 07:49:48,superior,1,12
anthony.sherman@yahoo.com,anthony.sherman@yahoo.com,2022-10-03,2022-10-08,2022-09-24 07:49:48,standard,1,19
anthony.sherman@yahoo.com,anthony.sherman@yahoo.com,2022-10-03,2022-10-08,2022-09-24 07:49:48,superior,1,22
william.young@yahoo.com,william.young@yahoo.com,2022-06-29,2022-07-01,2022-04-18 18:53:13,standard,2,4
william.young@yahoo.com,william.young@yahoo.com,2022-06-29,2022-07-01,2022-04-18 18:53:13,superior,2,14
william.young@yahoo.com,william.young@yahoo.com,2022-06-29,2022-07-01,2022-04-18 18:53:13,standard,2,19
gerald.gonzalez@hotmail.com,gerald.gonzalez@hotmail.com,2022-07-20,2022-07-28,2022-07-10 07:11:30,suite,2,5
gerald.gonzalez@hotmail.com,gerald.gonzalez@hotmail.com,2022-07-20,2022-07-28,2022-07-10 07:11:30,standard,2,24
gerald.gonzalez@hotmail.com,gerald.gonzalez@hotmail.com,2022-07-20,2022-07-28,2022-07-10 07:11:30,superior,1,10
paula.saunders@hotmail.com,paula.saunders@hotmail.com,2021-09-27,2021-09-30,2021-08-24 04:20:08,standard,1,9
paula.saunders@hotmail.com,paula.saunders@hotmail.com,2021-09-27,2021-09-30,2021-08-24 04:20:08,suite,2,7
anthony.carpenter@hotmail.com,anthony.carpenter@hotmail.com,2022-10-23,2022-10-25,2022-08-27 19:55:56,standard,2,14
andrew.perez@gmail.com,andrew.perez@gmail.com,2022-05-27,2022-05-28,2022-04-03 10:52:01,deluxe,1,20
andrew.perez@gmail.com,andrew.perez@gmail.com,2022-05-27,2022-05-28,2022-04-03 10:52:01,suite,2,14
robert.coleman@gmail.com,megan.roberts@yahoo.com,2022-02-11,2022-02-18,2021-12-23 11:37:58,standard,2,5
heather.mejia@yahoo.com,heather.mejia@yahoo.com,2022-07-14,2022-07-19,2022-05-03 15:10:15,standard,1,20
heather.mejia@yahoo.com,heather.mejia@yahoo.com,2022-07-14,2022-07-19,2022-05-03 15:10:15,suite,2,6
heather.mejia@yahoo.com,heather.mejia@yahoo.com,2022-07-14,2022-07-19,2022-05-03 15:10:15,standard,1,7
randy.daniels@yahoo.com,melissa.west@gmail.com,2022-11-15,2022-11-19,2022-09-19 04:39:29,suite,2,15
randy.daniels@yahoo.com,melissa.west@gmail.com,2022-11-15,2022-11-19,2022-09-19 04:39:29,standard,1,4
randy.daniels@yahoo.com,melissa.west@gmail.com,2022-11-15,2022-11-19,2022-09-19 04:39:29,superior,1,8
jacqueline.mcconnell@hotmail.com,jacqueline.mcconnell@hotmail.com,2023-01-24,2023-01-28,2022-11-02 09:54:41,superior,2,25
jacqueline.mcconnell@hotmail.com,jacqueline.mcconnell@hotmail.com,2023-01-24,2023-01-28,2022-11-02 09:54:41,superior,1,4
jacqueline.mcconnell@hotmail.com,jacqueline.mcconnell@hotmail.com,2023-01-24,2023-01-28,2022-11-02 09:54:41,standard,1,27
jacob.richardson@gmail.com,jacob.richardson@gmail.com,2021-07-20,2021-08-06,2021-05-28 12:27:07,superior,1,13
jacob.richardson@gmail.com,jacob.richardson@gmail.com,2021-07-20,2021-08-06,2021-05-28 12:27:07,standard,2,11
fred.hays@hotmail.com,fred.hays@hotmail.com,2023-03-16,2023-03-24,2023-02-23 01:25:17,deluxe,1,17
fred.hays@hotmail.com,fred.hays@hotmail.com,2023-03-16,2023-03-24,2023-02-23 01:25:17,superior,1,12
erin.perez@yahoo.com,erin.perez@yahoo.com,2022-08-29,2022-09-04,2022-08-08 03:57:28,standard,1,27
megan.roberts@yahoo.com,cheryl.tran@gmail.com,2022-09-27,2022-10-06,2022-09-19 02:41:36,standard,1,15
megan.roberts@yahoo.com,cheryl.tran@gmail.com,2022-09-27,2022-10-06,2022-09-19 02:41:36,standard,1,29
tanya.thornton@gmail.com,cheryl.tran@gmail.com,2021-04-20,2021-05-03,2021-02-22 09:26:28,superior,1,20
tanya.thornton@gmail.com,cheryl.tran@gmail.com,2021-04-20,2021-05-03,2021-02-22 09:26:28,superior,2,26
tanya.thornton@gmail.com,cheryl.tran@gmail.com,2021-04-20,2021-05-03,2021-02-22 09:26:28,deluxe,2,19
hailey.skinner@gmail.com,brittney.willis@yahoo.com,2021-06-07,2021-06-20,2021-05-18 08:48:13,standard,2,6
steven.johnson@yahoo.com,anthony.carpenter@hotmail.com,2022-04-23,2022-04-27,2022-02-20 21:55:53,standard,2,3
steven.johnson@yahoo.com,anthony.carpenter@hotmail.com,2022-04-23,2022-04-27,2022-02-20 21:55:53,suite,2,13
ethan.santiago@hotmail.com,thomas.marquez@hotmail.com,2021-02-06,2021-02-19,2021-01-15 03:15:32,standard,1,29
ethan.santiago@hotmail.com,thomas.marquez@hotmail.com,2021-02-06,2021-02-19,2021-01-15 03:15:32,standard,1,15
ethan.santiago@hotmail.com,thomas.marquez@hotmail.com,2021-02-06,2021-02-19,2021-01-15 03:15:32,standard,2,3
julie.hopkins@gmail.com,julie.hopkins@gmail.com,2021-07-14,2021-07-16,2021-05-02 05:55:08,standard,1,8
brittney.willis@yahoo.com,brittney.willis@yahoo.com,2022-04-24,2022-04-30,2022-04-10 15:34:31,deluxe,2,6
brittney.willis@yahoo.com,brittney.willis@yahoo.com,2022-04-24,2022-04-30,2022-04-10 15:34:31,superior,1,13
robert.moore@gmail.com,robert.moore@gmail.com,2022-09-27,2022-10-03,2022-07-22 13:32:28,deluxe,1,9
robert.moore@gmail.com,robert.moore@gmail.com,2022-09-27,2022-10-03,2022-07-22 13:32:28,superior,2,20
amy.meyer@gmail.com,amy.meyer@gmail.com,2022-08-28,2022-09-01,2022-06-07 03:46:04,deluxe,2,5
amy.meyer@gmail.com,amy.meyer@gmail.com,2022-08-28,2022-09-01,2022-06-07 03:46:04,suite,2,23
nicole.brown@hotmail.com,nicole.brown@hotmail.com,2023-02-01,2023-02-08,2022-12-01 03:56:08,superior,1,29
kimberly.miller@gmail.com,kimberly.miller@gmail.com,2021-04-17,2021-04-25,2021-03-07 17:42:35,standard,2,26
kimberly.miller@gmail.com,kimberly.miller@gmail.com,2021-04-17,2021-04-25,2021-03-07 17:42:35,standard,2,22
elaine.rosales@hotmail.com,elaine.rosales@hotmail.com,2022-09-04,2022-09-10,2022-08-01 04:00:19,deluxe,2,3
joseph.zamora@gmail.com,joseph.zamora@gmail.com,2022-08-25,2022-08-28,2022-07-11 00:13:15,superior,1,20
cheryl.tran@gmail.com,cheryl.tran@gmail.com,2022-11-22,2022-11-27,2022-10-30 18:35:47,standard,1,25
cheryl.tran@gmail.com,cheryl.tran@gmail.com,2022-11-22,2022-11-27,2022-10-30 18:35:47,standard,2,12
cheryl.tran@gmail.com,cheryl.tran@gmail.com,2022-11-22,2022-11-27,2022-10-30 18:35:47,standard,2,12
chase.miller@hotmail.com,chase.miller@hotmail.com,2023-05-10,2023-05-19,2023-04-11 01:04:55,superior,1,13
donald.smith@gmail.com,brenda.ewing@hotmail.com,2021-12-14,2021-12-15,2021-09-25 18:06:43,suite,2,10
donald.smith@gmail.com,brenda.ewing@hotmail.com,2021-12-14,2021-12-15,2021-09-25 18:06:43,superior,2,17
anthony.sherman@yahoo.com,anthony.sherman@yahoo.com,2022-01-17,2022-01-27,2021-12-17 01:09:47,superior,1,11
anthony.sherman@yahoo.com,anthony.sherman@yahoo.com,2022-01-17,2022-01-27,2021-12-17 01:09:47,deluxe,2,24
william.young@yahoo.com,william.young@yahoo.com,2021-08-13,2021-08-14,2021-05-18 14:17:25,suite,2,19
gerald.gonzalez@hotmail.com,gerald.gonzalez@hotmail.com,2022-01-28,2022-02-13,2021-12-01 03:11:49,standard,1,17
paula.saunders@hotmail.com,paula.saunders@hotmail.com,2021-01-04,2021-01-15,2020-10-07 22:59:18,deluxe,2,4
paula.saunders@hotmail.com,paula.saunders@hotmail.com,2021-01-04,2021-01-15,2020-10-07 22:59:18,superior,1,20
anthony.carpenter@hotmail.com,kristin.robinson@yahoo.com,2021-06-28,2021-07-08,2021-06-12 11:16:08,standard,2,29
andrew.perez@gmail.com,andrew.perez@gmail.com,2023-05-20,2023-06-01,2023-03-13 03:16:40,superior,2,24
andrew.perez@gmail.com,andrew.perez@gmail.com,2023-05-20,2023-06-01,2023-03-13 03:16:40,deluxe,2,1
robert.coleman@gmail.com,robert.coleman@gmail.com,2021-06-23,2021-07-03,2021-04-21 19:51:01,superior,2,6
robert.coleman@gmail.com,robert.coleman@gmail.com,2021-06-23,2021-07-03,2021-04-21 19:51:01,standard,2,18
robert.coleman@gmail.com,robert.coleman@gmail.com,2021-06-23,2021-07-03,2021-04-21 19:51:01,deluxe,1,17
heather.mejia@yahoo.com,heather.mejia@yahoo.com,2021-06-05,2021-06-12,2021-05-03 09:19:32,standard,2,28
randy.daniels@yahoo.com,brenda.ewing@hotmail.com,2022-06-22,2022-07-04,2022-04-16 09:50:05,deluxe,1,1
jacqueline.mcconnell@hotmail.com,amanda.greer@yahoo.com,2023-02-17,2023-02-21,2023-01-11 23:36:42,standard,1,18
jacqueline.mcconnell@hotmail.com,amanda.greer@yahoo.com,2023-02-17,2023-02-21,2023-01-11 23:36:42,standard,2,29
jacob.richardson@gmail.com,anthony.sherman@yahoo.com,2021-06-28,2021-07-04,2021-04-17 05:12:35,standard,2,13
jacob.richardson@gmail.com,anthony.sherman@yahoo.com,2021-06-28,2021-07-04,2021-04-17 05:12:35,superior,1,5
fred.hays@hotmail.com,fred.hays@hotmail.com,2023-05-06,2023-05-20,2023-04-08 15:32:36,standard,2,11
fred.hays@hotmail.com,fred.hays@hotmail.com,2023-05-06,2023-05-20,2023-04-08 15:32:36,superior,1,4
erin.perez@yahoo.com,jacob.richardson@gmail.com,2021-11-27,2021-12-01,2021-09-18 05:53:36,suite,2,28
erin.perez@yahoo.com,jacob.richardson@gmail.com,2021-11-27,2021-12-01,2021-09-18 05:53:36,superior,1,8
erin.perez@yahoo.com,jacob.richardson@gmail.com,2021-11-27,2021-12-01,2021-09-18 05:53:36,deluxe,2,14
megan.roberts@yahoo.com,megan.roberts@yahoo.com,2022-08-15,2022-08-16,2022-07-22 17:49:51,standard,2,15
megan.roberts@yahoo.com,megan.roberts@yahoo.com,2022-08-15,2022-08-16,2022-07-22 17:49:51,standard,1,16
