user,checkin,checkout,payment
patricia.rivera@gmail.com,2022-12-31,2023-01-04,2022-11-27 20:59:44
jennifer.melendez@hotmail.com,2023-04-03,2023-04-05,2023-02-01 02:56:28
destiny.lee@yahoo.com,2022-08-01,2022-08-04,2022-06-17 11:42:29
david.taylor@hotmail.com,2023-02-17,2023-02-18,2023-02-02 06:16:25
sabrina.bartlett@yahoo.com,2021-05-14,2021-05-20,2021-03-03 21:02:58
alyssa.ryan@gmail.com,2022-01-04,2022-01-16,2021-12-12 19:02:42
carrie.lee@hotmail.com,2023-02-22,2023-02-26,2022-12-23 18:59:46
william.collins@hotmail.com,2021-07-17,2021-07-23,2021-05-16 08:32:47
andrew.carter@hotmail.com,2023-02-27,2023-02-28,2023-02-23 20:41:15
erica.curtis@gmail.com,2022-09-30,2022-10-04,2022-08-11 11:29:18
manuel.clarke@gmail.com,2023-05-02,2023-05-11,2023-02-03 07:32:11
shelley.garza@yahoo.com,2023-03-10,2023-03-13,2023-01-07 04:10:00
david.taylor@hotmail.com,2022-08-05,2022-08-08,2022-07-07 16:30:17
shirley.cole@yahoo.com,2021-06-01,2021-06-08,2021-05-05 05:20:04
michael.simpson@yahoo.com,2022-08-03,2022-08-07,2022-06-20 03:45:36
dennis.fox@gmail.com,2022-01-25,2022-01-27,2021-11-15 23:21:34
matthew.buchanan@gmail.com,2022-05-15,2022-05-24,2022-05-04 11:34:33
scott.trujillo@hotmail.com,2022-12-18,2022-12-20,2022-11-08 23:49:46
crystal.davila@hotmail.com,2021-06-18,2021-06-23,2021-06-04 00:42:29
thomas.miranda@gmail.com,2023-07-07,2023-07-09,2023-07-03 14:18:10
ricardo.pierce@gmail.com,2021-08-20,2021-08-25,2021-06-08 22:30:35
amy.hill@yahoo.com,2022-01-03,2022-01-04,2021-10-18 05:44:37
thomas.schultz@hotmail.com,2022-02-01,2022-02-03,2022-01-13 00:05:19
jaime.carter@yahoo.com,2022-12-08,2022-12-10,2022-10-24 05:47:11
elizabeth.molina@gmail.com,2022-11-30,2022-12-12,2022-10-14 16:50:11
andrew.randall@gmail.com,2023-04-09,2023-04-14,2023-01-27 23:13:33
stephanie.evans@gmail.com,2022-10-06,2022-10-17,2022-10-02 06:26:13
lisa.day@gmail.com,2022-07-25,2022-07-28,2022-05-10 10:04:09
cheryl.abbott@yahoo.com,2022-06-30,2022-07-02,2022-05-16 06:51:57
kimberly.silva@gmail.com,2021-07-20,2021-07-26,2021-06-21 10:57:30
patricia.rivera@gmail.com,2021-12-10,2021-12-15,2021-09-25 10:25:47
jennifer.melendez@hotmail.com,2021-07-27,2021-08-02,2021-05-20 10:54:19
destiny.lee@yahoo.com,2023-05-08,2023-05-10,2023-03-23 18:26:36
david.taylor@hotmail.com,2021-06-08,2021-06-10,2021-03-17 00:43:48
sabrina.bartlett@yahoo.com,2022-06-06,2022-06-07,2022-03-15 02:46:37
alyssa.ryan@gmail.com,2023-05-06,2023-05-11,2023-03-22 19:58:34
carrie.lee@hotmail.com,2023-02-03,2023-02-12,2022-11-09 05:08:31
william.collins@hotmail.com,2022-11-21,2022-11-24,2022-10-23 07:17:53
andrew.carter@hotmail.com,2021-10-19,2021-10-31,2021-09-24 02:00:06
erica.curtis@gmail.com,2022-09-14,2022-09-22,2022-07-01 15:19:57
manuel.clarke@gmail.com,2023-07-09,2023-07-14,2023-05-11 00:20:55
shelley.garza@yahoo.com,2021-08-24,2021-09-07,2021-07-25 17:36:18
david.taylor@hotmail.com,2022-04-02,2022-04-12,2022-02-13 19:09:11
shirley.cole@yahoo.com,2023-01-24,2023-02-05,2022-12-10 18:45:34
michael.simpson@yahoo.com,2022-07-28,2022-07-29,2022-06-05 11:09:14
dennis.fox@gmail.com,2021-11-11,2021-11-24,2021-09-16 14:44:05
matthew.buchanan@gmail.com,2022-09-14,2022-09-16,2022-07-13 11:05:22
scott.trujillo@hotmail.com,2023-01-02,2023-01-04,2022-10-15 13:03:24
crystal.davila@hotmail.com,2021-03-10,2021-03-17,2021-02-01 01:12:45
thomas.miranda@gmail.com,2022-03-04,2022-03-09,2022-02-12 14:10:32
ricardo.pierce@gmail.com,2021-07-24,2021-07-29,2021-06-30 15:46:57
amy.hill@yahoo.com,2022-01-16,2022-01-30,2021-12-19 12:00:03
